mission_time_s,tx,ty,tz,error,d1,d2,d3,x1,x2,x3,y1,y2,y3,z1,z2,z3
1.714837,NaN,NaN,NaN,NaN,0,0,0,0.006810,-1.984062,1.971960,0.035783,-2.056691,-1.979489,0.051239,0.053226,-0.001949
1.725439,NaN,NaN,NaN,NaN,0,0,0,0.006806,-1.984147,1.971887,0.035847,-2.056828,-1.979583,0.051258,0.053322,-0.001816
1.734811,NaN,NaN,NaN,NaN,0,0,0,0.006801,-1.984231,1.971814,0.035913,-2.056967,-1.979676,0.051277,0.053413,-0.001682
1.745425,NaN,NaN,NaN,NaN,0,0,0,0.006804,-1.984383,1.971652,0.035978,-2.057227,-1.979902,0.051289,0.053631,-0.001408
1.769508,NaN,NaN,NaN,NaN,0,0,0,0.006810,-1.984458,1.971493,0.036180,-2.057359,-1.980121,0.051327,0.053738,-0.001144
1.775872,NaN,NaN,NaN,NaN,0,0,0,0.006803,-1.984658,1.971393,0.036242,-2.057757,-1.980232,0.051315,0.054073,-0.000999
1.785807,NaN,NaN,NaN,NaN,0,0,0,0.006795,-1.984720,1.971195,0.036305,-2.057891,-1.980448,0.051304,0.054188,-0.000721
1.795617,NaN,NaN,NaN,NaN,0,0,0,0.006788,-1.984782,1.971098,0.036370,-2.058027,-1.980554,0.051296,0.054302,-0.000591
1.805681,NaN,NaN,NaN,NaN,0,0,0,0.006762,-1.984843,1.971002,0.036496,-2.058165,-1.980658,0.051262,0.054417,-0.000462
1.816654,NaN,NaN,NaN,NaN,0,0,0,0.006744,-1.984939,1.970895,0.036557,-2.058401,-1.980767,0.051239,0.054680,-0.000324
1.825842,NaN,NaN,NaN,NaN,0,0,0,0.006726,-1.984987,1.970684,0.036620,-2.058523,-1.980980,0.051216,0.054806,-0.000053
1.845857,NaN,NaN,NaN,NaN,0,0,0,0.006672,-1.985034,1.970469,0.036762,-2.058648,-1.981186,0.051167,0.054932,0.000202
1.854498,NaN,NaN,NaN,NaN,0,0,0,0.006600,-1.985058,1.970248,0.036920,-2.058770,-1.981383,0.051105,0.055065,0.000439
1.866831,NaN,NaN,NaN,NaN,0,0,0,0.006565,-1.985131,1.970139,0.037001,-2.059153,-1.981480,0.051075,0.055447,0.000557
1.885665,NaN,NaN,NaN,NaN,0,0,0,0.006417,-1.985126,1.969911,0.037241,-2.059405,-1.981682,0.050945,0.055721,0.000797
1.905724,NaN,NaN,NaN,NaN,0,0,0,0.006309,-1.985122,1.969573,0.037411,-2.059667,-1.981990,0.050854,0.055988,0.001183
1.915255,NaN,NaN,NaN,NaN,0,0,0,0.006250,-1.985068,1.969458,0.037501,-2.059924,-1.982100,0.050804,0.056274,0.001331
1.926076,NaN,NaN,NaN,NaN,0,0,0,0.006133,-1.985042,1.969233,0.037683,-2.060057,-1.982316,0.050716,0.056412,0.001617
1.945833,NaN,NaN,NaN,NaN,0,0,0,0.006013,-1.984883,1.969020,0.037871,-2.060432,-1.982562,0.050632,0.056828,0.001919
1.955038,NaN,NaN,NaN,NaN,0,0,0,0.005951,-1.984819,1.968878,0.037968,-2.060556,-1.982704,0.050587,0.056961,0.002090
1.974755,NaN,NaN,NaN,NaN,0,0,0,0.005830,-1.984556,1.968574,0.038165,-2.060913,-1.983111,0.050499,0.057362,0.002510
1.986313,NaN,NaN,NaN,NaN,0,0,0,0.005622,-1.984458,1.968481,0.038461,-2.061033,-1.983250,0.050373,0.057495,0.002640
2.005842,NaN,NaN,NaN,NaN,0,0,0,0.005483,-1.984238,1.968300,0.038652,-2.061256,-1.983536,0.050293,0.057755,0.002914
2.015839,NaN,NaN,NaN,NaN,0,0,0,0.005413,-1.983994,1.968212,0.038745,-2.061467,-1.983685,0.050247,0.058010,0.003056
2.036050,NaN,NaN,NaN,NaN,0,0,0,0.005274,-1.983727,1.967951,0.038933,-2.061657,-1.984128,0.050159,0.058289,0.003487
2.045889,NaN,NaN,NaN,NaN,0,0,0,0.005109,-1.983580,1.967866,0.039108,-2.061739,-1.984277,0.050072,0.058430,0.003635
2.054418,NaN,NaN,NaN,NaN,0,0,0,0.005027,-1.983437,1.967698,0.039197,-2.061825,-1.984571,0.050026,0.058567,0.003929
2.067531,NaN,NaN,NaN,NaN,0,0,0,0.004946,-1.983155,1.967615,0.039287,-2.062007,-1.984714,0.049980,0.058838,0.004070
2.085482,NaN,NaN,NaN,NaN,0,0,0,0.004719,-1.982804,1.967478,0.039467,-2.062107,-1.985003,0.049896,0.059101,0.004387
2.105723,NaN,NaN,NaN,NaN,0,0,0,0.004367,-1.982267,1.967293,0.039747,-2.062245,-1.985419,0.049778,0.059490,0.004864
2.115365,NaN,NaN,NaN,NaN,0,0,0,0.004108,-1.982072,1.967245,0.039939,-2.062272,-1.985553,0.049713,0.059616,0.005028
2.135606,NaN,NaN,NaN,NaN,0,0,0,0.003832,-1.981485,1.967098,0.040143,-2.062354,-1.985939,0.049629,0.059975,0.005524
2.146090,NaN,NaN,NaN,NaN,0,0,0,0.003684,-1.981281,1.967047,0.040251,-2.062375,-1.986059,0.049580,0.060089,0.005699
2.155193,NaN,NaN,NaN,NaN,0,0,0,0.003394,-1.981081,1.966995,0.040470,-2.062400,-1.986178,0.049480,0.060200,0.005871
2.168348,NaN,NaN,NaN,NaN,0,0,0,0.003225,-1.980883,1.966943,0.040582,-2.062429,-1.986295,0.049400,0.060310,0.006042
2.174661,NaN,NaN,NaN,NaN,0,0,0,0.003058,-1.980659,1.966828,0.040695,-2.062446,-1.986495,0.049324,0.060410,0.006374
2.185632,NaN,NaN,NaN,NaN,0,0,0,0.002894,-1.980220,1.966771,0.040810,-2.062495,-1.986592,0.049248,0.060596,0.006535
2.205668,NaN,NaN,NaN,NaN,0,0,0,0.002388,-1.979763,1.966643,0.041149,-2.062557,-1.986762,0.049015,0.060745,0.006870
